datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2000/01/17@00:17:43,204,0.057739256,-0.077697752,1.0361938,-4.3435116,-1.3816794,-0.14503818
2000/01/17@00:17:44,205,0.057617188,-0.053222656,1.0457153,-3.206107,0.061068704,-1.519084
2000/01/17@00:17:45,206,0.05480957,-0.034301756,1.0454102,-1.8396946,1.2137405,-3.1374046
2000/01/17@00:17:46,207,0.09613037,-0.08984375,1.0352783,-9.083969,-4.7251908,-2.8931298
2000/01/17@00:17:47,208,0.07910156,-0.08050537,1.0406494,0.9465649,3.39694668,-1.0229008
2000/01/17@00:17:48,209,0.016845704,-0.011169434,1.0350952,6.0076336,8.564885,-4.59542
2000/01/17@00:17:49,210,0.031188964,-0.020996094,1.0459595,-1.4503816,0.9541985,-1.1908396
2000/01/17@00:17:51,212,0.02734375,-0.01373291,1.0478516,0.2519084,1.9847329,-1.167939
2000/01/17@00:17:52,213,0.026367188,-0.014038086,1.0443726,1.3435115,2.3664122,-0.78625952
2000/01/17@00:17:53,214,0.025512696,-0.022766114,1.0435181,-0.7557252,1.1908396,-1.0229008
2000/01/17@00:17:54,215,0.05328369,-0.062805176,1.0288086,1.0152671,1.8778626,-4.0916032
2000/01/17@00:17:55,216,0.031921388,-0.0281372068,1.0510864,-2.6412212,0.259542,-1.129771
2000/01/17@00:17:56,217,0.04534912,-0.05279541,1.0362549,5.259542,4.5801524,-0.35114504
2000/01/17@00:17:57,218,0.036071776,-0.028442382,1.050354,-26.12977,-10.610687,-0.10687023
2000/01/17@00:17:58,219,0.03765869,-0.03778076,1.0482178,-17.221374,-6.442748,-0.8396947
2000/01/17@00:17:59,220,0.07965088,-0.07623291,1.0350342,-7.4503816,-1.6564885,-0.9389313
2000/01/17@00:18:00,221,0.0473022468,-0.0476074216,1.048584,-1.2900764,0.90839692,-1.0458015
2000/01/17@00:18:01,222,0.041625976,-0.040405272,1.0435791,-2.1526718,1.5114504,-1.0305344
2000/01/17@00:18:02,223,0.05102539,-0.049743652,1.0422974,-0.8091603,1.2900764,-1.1603054
2000/01/17@00:18:03,224,0.045532228,-0.049682616,1.0467529,-1.4198474,0.99236643,-0.7633588
2000/01/17@00:18:04,225,0.059143068,-0.055541992,1.0462036,-0.54198476,1.519084,-1.091603
2000/01/17@00:18:05,226,0.05480957,-0.049438476,1.0475464,-2.8854962,0.343511468,-0.5954198
2000/01/17@00:18:06,227,0.051452636,-0.050720216,1.0436401,-4.4274808,-0.26717558,-0.793893168
2000/01/17@00:18:08,228,0.052978516,-0.059265136,1.0424805,-2.3740458,0.45038168,-0.86259544
2000/01/17@00:18:09,230,0.04522705,-0.043395996,1.0446167,0.778625968,1.961832,-0.9236641
2000/01/17@00:18:10,231,0.05432129,-0.05255127,1.0444946,-1.480916,1.038168,-0.6183206
2000/01/17@00:18:11,232,0.05206299,-0.048217772,1.0462646,-0.7480916,1.1755725,-0.99236643
2000/01/17@00:18:12,233,0.053588868,-0.05218506,1.0427856,-0.870229,1.0687023,-1.0534351
2000/01/17@00:18:13,234,0.049865724,-0.0496215816,1.0424805,-2.465649,0.5114504,-1.0076336
2000/01/17@00:18:14,235,0.051452636,-0.048583984,1.0447998,-3.534351,-0.244274816,-1.0229008
2000/01/17@00:18:15,236,0.043395996,-0.03955078,1.055542,-3.885496,-0.13740458,-1.5954199
2000/01/17@00:18:16,237,0.047424316,-0.0554199232,1.0386352,-3.2900762,0.17557252,-0.89312976
2000/01/17@00:18:17,238,0.0464477536,-0.054748536,1.0403442,-4.038168,-0.183206116,-1.1832061
2000/01/17@00:18:18,239,0.047973632,-0.049438476,1.0444336,-2.4122138,0.35114504,-1.167939
2000/01/17@00:18:19,240,0.043762208,-0.058898924,1.038269,-1.4427481,0.870229,-1.1068702
2000/01/17@00:18:20,241,0.052124024,-0.051635744,1.0437012,-1.9770992,0.86259544,-0.99236643
2000/01/17@00:18:21,242,0.051696776,-0.052612304,1.046875,-3.5267176,-0.022900764,-1.3816794
2000/01/17@00:18:22,243,0.057006836,-0.052734376,1.0414429,-3.8015268,-0.022900764,-1.1755725
2000/01/17@00:18:23,244,0.05090332,-0.057556152,1.0428467,-1.6259542,0.6870229,-0.84732824
2000/01/17@00:18:24,245,0.0579834,-0.050476076,1.0408936,-3.053435,0.35114504,-1.0610686
2000/01/17@00:18:26,247,0.048095704,-0.046569824,1.0422974,-4.9770992,-0.480916032,-1.0534351
2000/01/17@00:18:27,248,0.05090332,-0.05291748,1.046814,-1.5343511,0.9312977,-1.1603054
2000/01/17@00:18:28,249,0.058166504,-0.053222656,1.0431518,-2.389313,0.65648852,-0.86259544
2000/01/17@00:18:29,250,0.0473022468,-0.0446167,1.0444336,-1.6335878,1.0305344,-0.99236643
2000/01/17@00:18:30,251,0.05230713,-0.05291748,1.0430908,-1.1221374,1.3358779,-1.1908396
2000/01/17@00:18:31,252,0.04827881,-0.047180176,1.0444946,-2.1908398,0.793893168,-0.6793893
2000/01/17@00:18:32,253,0.05407715,-0.058776856,1.0405274,-2.816794,0.4961832,-1.1755725
2000/01/17@00:18:33,254,0.05206299,-0.053710936,1.0396728,-4.89313,-0.343511468,-1.0992366
2000/01/17@00:18:34,255,0.04901123,-0.047973632,1.046814,-0.8549618,1.2900764,-1.3053435
2000/01/17@00:18:35,256,0.0513916,-0.046325684,1.0487671,-3.36641232,0.29007636,-1.1526718
2000/01/17@00:18:36,257,0.049804688,-0.047668456,1.0441894,-1.70229,0.8091603,-1.4198474
2000/01/17@00:18:37,258,0.04876709,-0.0519409184,1.0425415,-0.458015268,1.5114504,-1.2519084
2000/01/17@00:18:38,259,0.05279541,-0.049987792,1.0457153,-2.59542,0.4961832,-0.99236643
2000/01/17@00:18:39,260,0.05480957,-0.054382324,1.0387573,-1.5267176,1.0076336,-1.4351145
2000/01/17@00:18:40,261,0.0531005868,-0.04852295,1.0460205,0.35114504,1.7557252,-0.5038168
2000/01/17@00:18:41,262,0.054138184,-0.05883789,1.0390625,-2.0839694,0.648855,-0.8778626
2000/01/17@00:18:43,264,0.058044432,-0.07019043,1.0403442,-1.908397,0.9160305,0.06870229
2000/01/17@00:18:44,265,0.039611816,-0.0214843736,1.0494385,-4.633588,-0.473282468,-4.9770992
2000/01/17@00:18:45,266,0.032836914,-0.016662598,1.0466308,1.1145039,2.0229008,-0.65648852
2000/01/17@00:18:46,267,0.027954102,-0.01763916,1.043457,-0.870229,1.351145,-0.77099232
2000/01/17@00:18:47,268,0.023010254,-0.00720214836,1.0438843,-0.3740458,1.5267176,-0.977099264
2000/01/17@00:18:48,269,0.006713867,-0.0064086916,1.0413208,1.9541985,2.6030534,-0.6183206
